deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,700m,100,6,0,350,14.7
50mb,1,700m,100,6,0,400,14.8
50mb,1,700m,100,6,0,450,14.7
50mb,1,700m,100,6,0,500,14.3
50mb,1,700m,100,6,20,350,32.8
50mb,1,700m,100,6,20,400,25.6
50mb,1,700m,100,6,20,450,26.6
50mb,1,700m,100,6,20,500,29.0
50mb,1,700m,100,6,40,350,21387.9
50mb,1,700m,100,6,40,400,19361.4
50mb,1,700m,100,6,40,450,31620.3
50mb,1,700m,100,6,40,500,38901.3
50mb,1,700m,100,6,60,350,160549.2
50mb,1,700m,100,6,60,400,74097.8
50mb,1,700m,100,6,60,450,70065.5
50mb,1,700m,100,6,60,500,154583.3
50mb,1,700m,100,6,80,350,230236.1
50mb,1,700m,100,6,80,400,187326.3
50mb,1,700m,100,6,80,450,235035.8
50mb,1,700m,100,6,80,500,235663.4
50mb,1,700m,100,6,100,350,534855.7
50mb,1,700m,100,6,100,400,474495.4
50mb,1,700m,100,6,100,450,435880.5
50mb,1,700m,100,6,100,500,490385.8
50mb,1,700m,100,6,120,350,588349.0
50mb,1,700m,100,6,120,400,448341.9
50mb,1,700m,100,6,120,450,455521.1
50mb,1,700m,100,6,120,500,463711.5
50mb,1,700m,100,6,140,350,584703.0
50mb,1,700m,100,6,140,400,604847.1
50mb,1,700m,100,6,140,450,710514.1
50mb,1,700m,100,6,140,500,636421.5
50mb,1,700m,100,6,160,350,726241.9
50mb,1,700m,100,6,160,400,815259.1
50mb,1,700m,100,6,160,450,847242.2
50mb,1,700m,100,6,160,500,888045.5
50mb,1,700m,100,6,180,350,1106878.6
50mb,1,700m,100,6,180,400,961772.4
50mb,1,700m,100,6,180,450,992306.9
50mb,1,700m,100,6,180,500,1028352.1
50mb,1,700m,100,6,200,350,1018924.2
50mb,1,700m,100,6,200,400,928395.5
50mb,1,700m,100,6,200,450,1182559.5
50mb,1,700m,100,6,200,500,945493.2
50mb,1,700m,100,7,0,350,14.7
50mb,1,700m,100,7,0,400,14.7
50mb,1,700m,100,7,0,450,14.3
50mb,1,700m,100,7,0,500,14.4
50mb,1,700m,100,7,20,350,80.5
50mb,1,700m,100,7,20,400,679.3
50mb,1,700m,100,7,20,450,889.5
50mb,1,700m,100,7,20,500,397.7
50mb,1,700m,100,7,40,350,49737.5
50mb,1,700m,100,7,40,400,63558.5
50mb,1,700m,100,7,40,450,89095.9
50mb,1,700m,100,7,40,500,57542.3
50mb,1,700m,100,7,60,350,206036.0
50mb,1,700m,100,7,60,400,223447.0
50mb,1,700m,100,7,60,450,273909.9
50mb,1,700m,100,7,60,500,231924.6
50mb,1,700m,100,7,80,350,287548.5
50mb,1,700m,100,7,80,400,382036.2
50mb,1,700m,100,7,80,450,349599.8
50mb,1,700m,100,7,80,500,337182.7
50mb,1,700m,100,7,100,350,528324.3
50mb,1,700m,100,7,100,400,404129.5
50mb,1,700m,100,7,100,450,500370.4
50mb,1,700m,100,7,100,500,478251.5
50mb,1,700m,100,7,120,350,579342.3
50mb,1,700m,100,7,120,400,607508.2
50mb,1,700m,100,7,120,450,603509.2
50mb,1,700m,100,7,120,500,600989.0
50mb,1,700m,100,7,140,350,759811.7
50mb,1,700m,100,7,140,400,778320.3
50mb,1,700m,100,7,140,450,717175.4
50mb,1,700m,100,7,140,500,580961.0
50mb,1,700m,100,7,160,350,885824.7
50mb,1,700m,100,7,160,400,623187.4
50mb,1,700m,100,7,160,450,907291.9
