deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,700m,100,1,0,350,14.8
50mb,1,700m,100,1,0,400,14.9
50mb,1,700m,100,1,0,450,13.6
50mb,1,700m,100,1,0,500,13.8
50mb,1,700m,100,1,20,350,24.5
50mb,1,700m,100,1,20,400,23.4
50mb,1,700m,100,1,20,450,25.9
50mb,1,700m,100,1,20,500,24.0
50mb,1,700m,100,1,40,350,42.2
50mb,1,700m,100,1,40,400,45.3
50mb,1,700m,100,1,40,450,43.8
50mb,1,700m,100,1,40,500,44.7
50mb,1,700m,100,1,60,350,53.3
50mb,1,700m,100,1,60,400,51.4
50mb,1,700m,100,1,60,450,49.6
50mb,1,700m,100,1,60,500,51.8
50mb,1,700m,100,1,80,350,64.6
50mb,1,700m,100,1,80,400,62.0
50mb,1,700m,100,1,80,450,72.9
50mb,1,700m,100,1,80,500,80.5
50mb,1,700m,100,1,100,350,77.8
50mb,1,700m,100,1,100,400,81.9
50mb,1,700m,100,1,100,450,78.1
50mb,1,700m,100,1,100,500,81.2
50mb,1,700m,100,1,120,350,159.9
50mb,1,700m,100,1,120,400,165.6
50mb,1,700m,100,1,120,450,166.3
50mb,1,700m,100,1,120,500,162.8
50mb,1,700m,100,1,140,350,238.0
50mb,1,700m,100,1,140,400,213.5
50mb,1,700m,100,1,140,450,236.6
50mb,1,700m,100,1,140,500,236.0
50mb,1,700m,100,1,160,350,29832.4
50mb,1,700m,100,1,160,400,27606.7
50mb,1,700m,100,1,160,450,34447.8
50mb,1,700m,100,1,160,500,31982.9
50mb,1,700m,100,1,180,350,46165.2
50mb,1,700m,100,1,180,400,53207.0
50mb,1,700m,100,1,180,450,49760.9
50mb,1,700m,100,1,180,500,41304.9
50mb,1,700m,100,1,200,350,77016.6
50mb,1,700m,100,1,200,400,119980.5
50mb,1,700m,100,1,200,450,69769.6
50mb,1,700m,100,1,200,500,71587.7
50mb,1,700m,100,2,0,350,15.2
50mb,1,700m,100,2,0,400,13.7
50mb,1,700m,100,2,0,450,14.8
50mb,1,700m,100,2,0,500,14.9
50mb,1,700m,100,2,20,350,26.3
50mb,1,700m,100,2,20,400,26.8
50mb,1,700m,100,2,20,450,28.1
50mb,1,700m,100,2,20,500,29.5
50mb,1,700m,100,2,40,350,41.8
50mb,1,700m,100,2,40,400,40.6
50mb,1,700m,100,2,40,450,36.5
50mb,1,700m,100,2,40,500,39.2
50mb,1,700m,100,2,60,350,58.9
50mb,1,700m,100,2,60,400,58.0
50mb,1,700m,100,2,60,450,60.3
50mb,1,700m,100,2,60,500,54.9
50mb,1,700m,100,2,80,350,9851.6
50mb,1,700m,100,2,80,400,32205.0
50mb,1,700m,100,2,80,450,24626.6
50mb,1,700m,100,2,80,500,22500.4
50mb,1,700m,100,2,100,350,32562.0
50mb,1,700m,100,2,100,400,40226.9
50mb,1,700m,100,2,100,450,40579.1
50mb,1,700m,100,2,100,500,45630.8
50mb,1,700m,100,2,120,350,87076.4
50mb,1,700m,100,2,120,400,90304.0
50mb,1,700m,100,2,120,450,88903.0
50mb,1,700m,100,2,120,500,97437.1
50mb,1,700m,100,2,140,350,138623.6
