deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,4,800m,75,10,0,350,14.1
50mb,4,800m,75,10,0,400,15.0
50mb,4,800m,75,10,0,450,14.4
50mb,4,800m,75,10,0,500,13.7
50mb,4,800m,75,10,20,350,9859.0
50mb,4,800m,75,10,20,400,9524.7
50mb,4,800m,75,10,20,450,10131.4
50mb,4,800m,75,10,20,500,9405.7
50mb,4,800m,75,10,40,350,51408.1
50mb,4,800m,75,10,40,400,51440.1
50mb,4,800m,75,10,40,450,50994.9
50mb,4,800m,75,10,40,500,51911.7
50mb,4,800m,75,10,60,350,80605.2
50mb,4,800m,75,10,60,400,81702.8
50mb,4,800m,75,10,60,450,81441.9
50mb,4,800m,75,10,60,500,81553.7
50mb,4,800m,75,10,80,350,114256.5
50mb,4,800m,75,10,80,400,112207.9
50mb,4,800m,75,10,80,450,112774.3
50mb,4,800m,75,10,80,500,110022.7
50mb,4,800m,75,10,100,350,142117.2
50mb,4,800m,75,10,100,400,141702.3
50mb,4,800m,75,10,100,450,142678.7
50mb,4,800m,75,10,100,500,144036.1
50mb,4,800m,75,10,120,350,174641.0
50mb,4,800m,75,10,120,400,174409.0
50mb,4,800m,75,10,120,450,174938.6
50mb,4,800m,75,10,120,500,175274.7
50mb,4,800m,75,10,140,350,213040.3
50mb,4,800m,75,10,140,400,213260.6
50mb,4,800m,75,10,140,450,213944.0
50mb,4,800m,75,10,140,500,216982.6
50mb,4,800m,75,10,160,350,242858.2
50mb,4,800m,75,10,160,400,266923.6
50mb,4,800m,75,10,160,450,252967.1
50mb,4,800m,75,10,160,500,250904.4
50mb,4,800m,75,10,180,350,294688.4
50mb,4,800m,75,10,180,400,292720.8
50mb,4,800m,75,10,180,450,288972.9
50mb,4,800m,75,10,180,500,288602.5
50mb,4,800m,75,10,200,350,337370.0
50mb,4,800m,75,10,200,400,319354.5
50mb,4,800m,75,10,200,450,337477.4
50mb,4,800m,75,10,200,500,344450.6
50mb,4,800m,75,11,0,350,14.8
50mb,4,800m,75,11,0,400,14.6
50mb,4,800m,75,11,0,450,14.6
50mb,4,800m,75,11,0,500,14.6
50mb,4,800m,75,11,20,350,9801.6
50mb,4,800m,75,11,20,400,9990.1
50mb,4,800m,75,11,20,450,9749.2
50mb,4,800m,75,11,20,500,10363.1
50mb,4,800m,75,11,40,350,51764.7
50mb,4,800m,75,11,40,400,51947.5
50mb,4,800m,75,11,40,450,51474.8
50mb,4,800m,75,11,40,500,51438.6
50mb,4,800m,75,11,60,350,82791.3
50mb,4,800m,75,11,60,400,84325.3
50mb,4,800m,75,11,60,450,83802.7
50mb,4,800m,75,11,60,500,82661.4
50mb,4,800m,75,11,80,350,115100.9
50mb,4,800m,75,11,80,400,115797.4
50mb,4,800m,75,11,80,450,114353.4
50mb,4,800m,75,11,80,500,116803.0
50mb,4,800m,75,11,100,350,146426.4
50mb,4,800m,75,11,100,400,147086.6
50mb,4,800m,75,11,100,450,144879.3
50mb,4,800m,75,11,100,500,144470.7
50mb,4,800m,75,11,120,350,175676.8
50mb,4,800m,75,11,120,400,175839.8
50mb,4,800m,75,11,120,450,175998.8
50mb,4,800m,75,11,120,500,176685.6
50mb,4,800m,75,11,140,350,211586.3
50mb,4,800m,75,11,140,400,219284.5
50mb,4,800m,75,11,140,450,212839.7
50mb,4,800m,75,11,140,500,214422.9
50mb,4,800m,75,11,160,350,258561.7
50mb,4,800m,75,11,160,400,258057.0
50mb,4,800m,75,11,160,450,256191.7
50mb,4,800m,75,11,160,500,257143.8
50mb,4,800m,75,11,180,350,295670.3
50mb,4,800m,75,11,180,400,294039.2
50mb,4,800m,75,11,180,450,286621.4
50mb,4,800m,75,11,180,500,297861.4
50mb,4,800m,75,11,200,350,331426.7
50mb,4,800m,75,11,200,400,332781.9
50mb,4,800m,75,11,200,450,326740.3
50mb,4,800m,75,11,200,500,331604.9
50mb,4,800m,75,12,0,350,14.9
50mb,4,800m,75,12,0,400,14.7
50mb,4,800m,75,12,0,450,14.9
50mb,4,800m,75,12,0,500,14.4
50mb,4,800m,75,12,20,350,10174.3
50mb,4,800m,75,12,20,400,10244.7
50mb,4,800m,75,12,20,450,10521.0
50mb,4,800m,75,12,20,500,10692.7
50mb,4,800m,75,12,40,350,53488.0
50mb,4,800m,75,12,40,400,52812.1
50mb,4,800m,75,12,40,450,52350.7
50mb,4,800m,75,12,40,500,53392.0
50mb,4,800m,75,12,60,350,83246.7
50mb,4,800m,75,12,60,400,83417.0
50mb,4,800m,75,12,60,450,85204.8
50mb,4,800m,75,12,60,500,84217.8
50mb,4,800m,75,12,80,350,114277.7
50mb,4,800m,75,12,80,400,115689.6
50mb,4,800m,75,12,80,450,116841.7
50mb,4,800m,75,12,80,500,115493.2
50mb,4,800m,75,12,100,350,145594.2
50mb,4,800m,75,12,100,400,146080.1
50mb,4,800m,75,12,100,450,144657.2
50mb,4,800m,75,12,100,500,143772.0
50mb,4,800m,75,12,120,350,175036.4
50mb,4,800m,75,12,120,400,172963.1
50mb,4,800m,75,12,120,450,178662.2
50mb,4,800m,75,12,120,500,177376.3
50mb,4,800m,75,12,140,350,215433.7
50mb,4,800m,75,12,140,400,214386.9
50mb,4,800m,75,12,140,450,220326.0
50mb,4,800m,75,12,140,500,203976.8
50mb,4,800m,75,12,160,350,258629.9
50mb,4,800m,75,12,160,400,258215.2
50mb,4,800m,75,12,160,450,264702.6
50mb,4,800m,75,12,160,500,248337.2
50mb,4,800m,75,12,180,350,294753.7
50mb,4,800m,75,12,180,400,293924.3
50mb,4,800m,75,12,180,450,300218.5
50mb,4,800m,75,12,180,500,299118.5
50mb,4,800m,75,12,200,350,335243.1
50mb,4,800m,75,12,200,400,343779.4
