deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,800m,25,5,140,350,55095.2
50mb,1,800m,25,5,140,400,55100.5
50mb,1,800m,25,5,140,450,55669.3
50mb,1,800m,25,5,140,500,55559.7
50mb,1,800m,25,5,160,350,65812.9
50mb,1,800m,25,5,160,400,66180.6
50mb,1,800m,25,5,160,450,65949.9
50mb,1,800m,25,5,160,500,65567.5
50mb,1,800m,25,5,180,350,75772.5
50mb,1,800m,25,5,180,400,76050.2
50mb,1,800m,25,5,180,450,75581.2
50mb,1,800m,25,5,180,500,76045.7
50mb,1,800m,25,5,200,350,85393.0
50mb,1,800m,25,5,200,400,85513.2
50mb,1,800m,25,5,200,450,85132.1
50mb,1,800m,25,5,200,500,85497.0
50mb,1,800m,25,6,0,350,14.4
50mb,1,800m,25,6,0,400,15.0
50mb,1,800m,25,6,0,450,14.8
50mb,1,800m,25,6,0,500,14.9
50mb,1,800m,25,6,20,350,1404.7
50mb,1,800m,25,6,20,400,1346.9
50mb,1,800m,25,6,20,450,1335.2
50mb,1,800m,25,6,20,500,1291.4
50mb,1,800m,25,6,40,350,8417.0
50mb,1,800m,25,6,40,400,8172.8
50mb,1,800m,25,6,40,450,8086.8
50mb,1,800m,25,6,40,500,7852.4
50mb,1,800m,25,6,60,350,17507.5
50mb,1,800m,25,6,60,400,16935.5
50mb,1,800m,25,6,60,450,17127.7
50mb,1,800m,25,6,60,500,16936.5
50mb,1,800m,25,6,80,350,27001.9
50mb,1,800m,25,6,80,400,26571.9
50mb,1,800m,25,6,80,450,26475.2
50mb,1,800m,25,6,80,500,27139.6
50mb,1,800m,25,6,100,350,36980.3
50mb,1,800m,25,6,100,400,37060.6
50mb,1,800m,25,6,100,450,36046.6
50mb,1,800m,25,6,100,500,37018.0
50mb,1,800m,25,6,120,350,46280.6
50mb,1,800m,25,6,120,400,46165.9
50mb,1,800m,25,6,120,450,46145.3
50mb,1,800m,25,6,120,500,46226.4
50mb,1,800m,25,6,140,350,56450.6
50mb,1,800m,25,6,140,400,56338.1
50mb,1,800m,25,6,140,450,57090.8
50mb,1,800m,25,6,140,500,56113.7
50mb,1,800m,25,6,160,350,65759.7
50mb,1,800m,25,6,160,400,65718.9
50mb,1,800m,25,6,160,450,66764.0
50mb,1,800m,25,6,160,500,66316.5
50mb,1,800m,25,6,180,350,76318.5
50mb,1,800m,25,6,180,400,76148.2
50mb,1,800m,25,6,180,450,76178.6
50mb,1,800m,25,6,180,500,75669.7
50mb,1,800m,25,6,200,350,85364.2
50mb,1,800m,25,6,200,400,85186.7
50mb,1,800m,25,6,200,450,85749.3
50mb,1,800m,25,6,200,500,85633.4
50mb,1,800m,25,7,0,350,14.7
50mb,1,800m,25,7,0,400,14.6
50mb,1,800m,25,7,0,450,14.4
50mb,1,800m,25,7,0,500,14.8
50mb,1,800m,25,7,20,350,1450.5
50mb,1,800m,25,7,20,400,1606.5
50mb,1,800m,25,7,20,450,1451.9
50mb,1,800m,25,7,20,500,1501.9
50mb,1,800m,25,7,40,350,8426.7
50mb,1,800m,25,7,40,400,8327.9
50mb,1,800m,25,7,40,450,8886.1
