deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,800m,25,1,0,350,14.3
50mb,1,800m,25,1,0,400,14.3
50mb,1,800m,25,1,0,450,15.1
50mb,1,800m,25,1,0,500,12.4
50mb,1,800m,25,1,20,350,31.6
50mb,1,800m,25,1,20,400,31.2
50mb,1,800m,25,1,20,450,32.2
50mb,1,800m,25,1,20,500,32.6
50mb,1,800m,25,1,40,350,91.1
50mb,1,800m,25,1,40,400,63.4
50mb,1,800m,25,1,40,450,64.2
50mb,1,800m,25,1,40,500,63.7
50mb,1,800m,25,1,60,350,2196.5
50mb,1,800m,25,1,60,400,2188.5
50mb,1,800m,25,1,60,450,2220.4
50mb,1,800m,25,1,60,500,2215.0
50mb,1,800m,25,1,80,350,9989.7
50mb,1,800m,25,1,80,400,10014.2
50mb,1,800m,25,1,80,450,10038.9
50mb,1,800m,25,1,80,500,9996.6
50mb,1,800m,25,1,100,350,19076.2
50mb,1,800m,25,1,100,400,18867.0
50mb,1,800m,25,1,100,450,18807.0
50mb,1,800m,25,1,100,500,18811.2
50mb,1,800m,25,1,120,350,28497.6
50mb,1,800m,25,1,120,400,28839.9
50mb,1,800m,25,1,120,450,28753.8
50mb,1,800m,25,1,120,500,28743.3
50mb,1,800m,25,1,140,350,38081.4
50mb,1,800m,25,1,140,400,38133.2
50mb,1,800m,25,1,140,450,37795.5
50mb,1,800m,25,1,140,500,38103.8
50mb,1,800m,25,1,160,350,47432.5
50mb,1,800m,25,1,160,400,47360.2
50mb,1,800m,25,1,160,450,47467.4
50mb,1,800m,25,1,160,500,47840.6
50mb,1,800m,25,1,180,350,58195.0
50mb,1,800m,25,1,180,400,58407.8
50mb,1,800m,25,1,180,450,57444.3
50mb,1,800m,25,1,180,500,57179.9
50mb,1,800m,25,1,200,350,67441.1
50mb,1,800m,25,1,200,400,67348.1
50mb,1,800m,25,1,200,450,67315.7
50mb,1,800m,25,1,200,500,67415.4
50mb,1,800m,25,2,0,350,13.8
50mb,1,800m,25,2,0,400,13.5
50mb,1,800m,25,2,0,450,14.7
50mb,1,800m,25,2,0,500,15.1
50mb,1,800m,25,2,20,350,31.6
50mb,1,800m,25,2,20,400,26.4
50mb,1,800m,25,2,20,450,25.9
50mb,1,800m,25,2,20,500,28.6
50mb,1,800m,25,2,40,350,3217.7
50mb,1,800m,25,2,40,400,3263.1
50mb,1,800m,25,2,40,450,3196.6
50mb,1,800m,25,2,40,500,3184.6
50mb,1,800m,25,2,60,350,10416.5
50mb,1,800m,25,2,60,400,11071.6
50mb,1,800m,25,2,60,450,10515.9
50mb,1,800m,25,2,60,500,10584.2
50mb,1,800m,25,2,80,350,20570.8
50mb,1,800m,25,2,80,400,20139.4
50mb,1,800m,25,2,80,450,20239.2
50mb,1,800m,25,2,80,500,19835.6
50mb,1,800m,25,2,100,350,29444.5
50mb,1,800m,25,2,100,400,30001.6
50mb,1,800m,25,2,100,450,29760.4
50mb,1,800m,25,2,100,500,29515.7
50mb,1,800m,25,2,120,350,39321.4
50mb,1,800m,25,2,120,400,39915.6
50mb,1,800m,25,2,120,450,39845.3
50mb,1,800m,25,2,120,500,39458.1
50mb,1,800m,25,2,140,350,49663.1
50mb,1,800m,25,2,140,400,49384.5
50mb,1,800m,25,2,140,450,49206.2
50mb,1,800m,25,2,140,500,49966.8
50mb,1,800m,25,2,160,350,59025.8
50mb,1,800m,25,2,160,400,60187.8
50mb,1,800m,25,2,160,450,59498.4
50mb,1,800m,25,2,160,500,59361.7
50mb,1,800m,25,2,180,350,69312.2
50mb,1,800m,25,2,180,400,69310.1
50mb,1,800m,25,2,180,450,69699.8
50mb,1,800m,25,2,180,500,69467.2
50mb,1,800m,25,2,200,350,79085.4
50mb,1,800m,25,2,200,400,78986.1
50mb,1,800m,25,2,200,450,79260.4
50mb,1,800m,25,2,200,500,80375.4
50mb,1,800m,25,3,0,350,15.1
50mb,1,800m,25,3,0,400,14.5
50mb,1,800m,25,3,0,450,14.6
50mb,1,800m,25,3,0,500,22.3
50mb,1,800m,25,3,20,350,211.4
50mb,1,800m,25,3,20,400,211.0
50mb,1,800m,25,3,20,450,213.0
50mb,1,800m,25,3,20,500,211.5
50mb,1,800m,25,3,40,350,5452.3
50mb,1,800m,25,3,40,400,5722.9
50mb,1,800m,25,3,40,450,5569.3
50mb,1,800m,25,3,40,500,5387.7
50mb,1,800m,25,3,60,350,13963.7
50mb,1,800m,25,3,60,400,14575.1
50mb,1,800m,25,3,60,450,13992.9
50mb,1,800m,25,3,60,500,13952.1
50mb,1,800m,25,3,80,350,23435.4
50mb,1,800m,25,3,80,400,23528.2
50mb,1,800m,25,3,80,450,24246.8
50mb,1,800m,25,3,80,500,23964.9
50mb,1,800m,25,3,100,350,33885.1
50mb,1,800m,25,3,100,400,33786.3
50mb,1,800m,25,3,100,450,33454.8
50mb,1,800m,25,3,100,500,33286.7
50mb,1,800m,25,3,120,350,43660.8
50mb,1,800m,25,3,120,400,43290.1
50mb,1,800m,25,3,120,450,43108.6
50mb,1,800m,25,3,120,500,43120.7
50mb,1,800m,25,3,140,350,54151.2
50mb,1,800m,25,3,140,400,54077.4
50mb,1,800m,25,3,140,450,53808.7
50mb,1,800m,25,3,140,500,52656.0
50mb,1,800m,25,3,160,350,63610.6
50mb,1,800m,25,3,160,400,62970.5
50mb,1,800m,25,3,160,450,63132.5
50mb,1,800m,25,3,160,500,62757.1
50mb,1,800m,25,3,180,350,72820.5
50mb,1,800m,25,3,180,400,73737.4
50mb,1,800m,25,3,180,450,73581.2
50mb,1,800m,25,3,180,500,72672.7
50mb,1,800m,25,3,200,350,82176.5
50mb,1,800m,25,3,200,400,83592.4
50mb,1,800m,25,3,200,450,83410.5
50mb,1,800m,25,3,200,500,83202.7
50mb,1,800m,25,4,0,350,15.1
50mb,1,800m,25,4,0,400,14.8
50mb,1,800m,25,4,0,450,14.8
50mb,1,800m,25,4,0,500,14.6
