deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,4,800m,100,16,0,350,17.7
50mb,4,800m,100,16,0,400,14.8
50mb,4,800m,100,16,0,450,13.8
50mb,4,800m,100,16,0,500,14.6
50mb,4,800m,100,16,20,350,3274.1
50mb,4,800m,100,16,20,400,2451.8
50mb,4,800m,100,16,20,450,3900.1
50mb,4,800m,100,16,20,500,2482.3
50mb,4,800m,100,16,40,350,21829.8
50mb,4,800m,100,16,40,400,14568.0
50mb,4,800m,100,16,40,450,25907.6
50mb,4,800m,100,16,40,500,31492.4
50mb,4,800m,100,16,60,350,62081.5
50mb,4,800m,100,16,60,400,42304.1
50mb,4,800m,100,16,60,450,57685.5
50mb,4,800m,100,16,60,500,45434.3
50mb,4,800m,100,16,80,350,195040.2
50mb,4,800m,100,16,80,400,176040.1
50mb,4,800m,100,16,80,450,120981.9
50mb,4,800m,100,16,80,500,107371.7
50mb,4,800m,100,16,100,350,202413.0
50mb,4,800m,100,16,100,400,167309.8
50mb,4,800m,100,16,100,450,199374.3
50mb,4,800m,100,16,100,500,463666.1
50mb,4,800m,100,16,120,350,327713.6
50mb,4,800m,100,16,120,400,364797.2
50mb,4,800m,100,16,120,450,378855.2
50mb,4,800m,100,16,120,500,372100.4
50mb,4,800m,100,16,140,350,447618.7
50mb,4,800m,100,16,140,400,360873.4
50mb,4,800m,100,16,140,450,501162.8
50mb,4,800m,100,16,140,500,384511.4
50mb,4,800m,100,16,160,350,867539.0
50mb,4,800m,100,16,160,400,977251.5
50mb,4,800m,100,16,160,450,940538.7
50mb,4,800m,100,16,160,500,979676.4
50mb,4,800m,100,16,180,350,1155782.1
50mb,4,800m,100,16,180,400,1111204.3
50mb,4,800m,100,16,180,450,1091635.5
50mb,4,800m,100,16,180,500,945608.1
50mb,4,800m,100,16,200,350,1227147.6
50mb,4,800m,100,16,200,400,749828.9
50mb,4,800m,100,16,200,450,457690.3
50mb,4,800m,100,16,200,500,1188633.9
50mb,4,800m,100,17,0,350,18.1
50mb,4,800m,100,17,0,400,13.8
50mb,4,800m,100,17,0,450,14.8
50mb,4,800m,100,17,0,500,14.8
50mb,4,800m,100,17,20,350,2257.5
50mb,4,800m,100,17,20,400,1718.7
50mb,4,800m,100,17,20,450,2831.8
50mb,4,800m,100,17,20,500,2051.7
50mb,4,800m,100,17,40,350,15972.8
50mb,4,800m,100,17,40,400,15889.0
50mb,4,800m,100,17,40,450,26507.6
50mb,4,800m,100,17,40,500,17969.9
50mb,4,800m,100,17,60,350,32800.3
50mb,4,800m,100,17,60,400,39803.4
50mb,4,800m,100,17,60,450,38752.4
50mb,4,800m,100,17,60,500,58532.6
50mb,4,800m,100,17,80,350,53876.5
50mb,4,800m,100,17,80,400,122576.6
50mb,4,800m,100,17,80,450,183971.1
50mb,4,800m,100,17,80,500,66416.5
50mb,4,800m,100,17,100,350,250520.1
50mb,4,800m,100,17,100,400,530812.0
50mb,4,800m,100,17,100,450,218794.5
50mb,4,800m,100,17,100,500,80134.3
50mb,4,800m,100,17,120,350,490835.3
50mb,4,800m,100,17,120,400,387266.9
50mb,4,800m,100,17,120,450,292649.9
50mb,4,800m,100,17,120,500,400599.4
50mb,4,800m,100,17,140,350,461342.8
50mb,4,800m,100,17,140,400,398855.1
50mb,4,800m,100,17,140,450,774388.6
50mb,4,800m,100,17,140,500,469707.2
50mb,4,800m,100,17,160,350,744744.8
50mb,4,800m,100,17,160,400,909979.9
50mb,4,800m,100,17,160,450,661101.5
50mb,4,800m,100,17,160,500,961822.7
50mb,4,800m,100,17,180,350,530803.8
50mb,4,800m,100,17,180,400,1043720.0
50mb,4,800m,100,17,180,450,1091443.2
50mb,4,800m,100,17,180,500,1158892.9
50mb,4,800m,100,17,200,350,1364895.6
50mb,4,800m,100,17,200,400,1365042.2
50mb,4,800m,100,17,200,450,1180164.1
50mb,4,800m,100,17,200,500,1022301.2
50mb,4,800m,100,18,0,350,20.1
50mb,4,800m,100,18,0,400,14.8
50mb,4,800m,100,18,0,450,14.9
50mb,4,800m,100,18,0,500,14.8
50mb,4,800m,100,18,20,350,4821.9
50mb,4,800m,100,18,20,400,3448.4
50mb,4,800m,100,18,20,450,2653.8
50mb,4,800m,100,18,20,500,1945.2
50mb,4,800m,100,18,40,350,27889.7
50mb,4,800m,100,18,40,400,16779.9
50mb,4,800m,100,18,40,450,24399.8
50mb,4,800m,100,18,40,500,18278.8
50mb,4,800m,100,18,60,350,44033.0
50mb,4,800m,100,18,60,400,34074.8
50mb,4,800m,100,18,60,450,30843.6
50mb,4,800m,100,18,60,500,53464.9
50mb,4,800m,100,18,80,350,89679.5
50mb,4,800m,100,18,80,400,64968.4
50mb,4,800m,100,18,80,450,64527.5
50mb,4,800m,100,18,80,500,56443.7
50mb,4,800m,100,18,100,350,262403.9
50mb,4,800m,100,18,100,400,129724.7
50mb,4,800m,100,18,100,450,191959.5
50mb,4,800m,100,18,100,500,313651.8
50mb,4,800m,100,18,120,350,514284.0
50mb,4,800m,100,18,120,400,311360.1
50mb,4,800m,100,18,120,450,557107.3
50mb,4,800m,100,18,120,500,533101.9
50mb,4,800m,100,18,140,350,767266.4
50mb,4,800m,100,18,140,400,463726.5
50mb,4,800m,100,18,140,450,312110.2
50mb,4,800m,100,18,140,500,469175.5
50mb,4,800m,100,18,160,350,931177.8
50mb,4,800m,100,18,160,400,955524.2
50mb,4,800m,100,18,160,450,602102.3
50mb,4,800m,100,18,160,500,969055.6
50mb,4,800m,100,18,180,350,929711.6
50mb,4,800m,100,18,180,400,759977.4
50mb,4,800m,100,18,180,450,897557.1
50mb,4,800m,100,18,180,500,997479.0
50mb,4,800m,100,18,200,350,849913.1
50mb,4,800m,100,18,200,400,1299684.3
50mb,4,800m,100,18,200,450,1047685.8
50mb,4,800m,100,18,200,500,1161744.5
50mb,4,800m,100,19,0,350,17.7
50mb,4,800m,100,19,0,400,14.9
50mb,4,800m,100,19,0,450,15.1
50mb,4,800m,100,19,0,500,14.6
50mb,4,800m,100,19,20,350,2445.3
50mb,4,800m,100,19,20,400,3743.4
50mb,4,800m,100,19,20,450,1632.1
50mb,4,800m,100,19,20,500,1470.3
50mb,4,800m,100,19,40,350,17424.9
50mb,4,800m,100,19,40,400,14896.8
50mb,4,800m,100,19,40,450,15912.5
50mb,4,800m,100,19,40,500,22101.1
50mb,4,800m,100,19,60,350,30611.7
50mb,4,800m,100,19,60,400,45087.4
50mb,4,800m,100,19,60,450,33710.2
50mb,4,800m,100,19,60,500,32988.4
50mb,4,800m,100,19,80,350,69277.0
50mb,4,800m,100,19,80,400,144875.4
50mb,4,800m,100,19,80,450,97999.6
50mb,4,800m,100,19,80,500,99251.8
50mb,4,800m,100,19,100,350,229301.6
50mb,4,800m,100,19,100,400,180143.7
50mb,4,800m,100,19,100,450,342096.8
50mb,4,800m,100,19,100,500,321758.4
50mb,4,800m,100,19,120,350,471021.9
50mb,4,800m,100,19,120,400,534918.3
50mb,4,800m,100,19,120,450,441849.1
50mb,4,800m,100,19,120,500,271565.3
50mb,4,800m,100,19,140,350,331823.2
50mb,4,800m,100,19,140,400,552079.4
50mb,4,800m,100,19,140,450,495208.7
50mb,4,800m,100,19,140,500,344583.3
50mb,4,800m,100,19,160,350,823489.3
50mb,4,800m,100,19,160,400,522839.5
50mb,4,800m,100,19,160,450,575735.2
50mb,4,800m,100,19,160,500,535047.3
50mb,4,800m,100,19,180,350,582369.2
50mb,4,800m,100,19,180,400,767905.2
50mb,4,800m,100,19,180,450,1068448.8
50mb,4,800m,100,19,180,500,690425.0
50mb,4,800m,100,19,200,350,1226729.2
50mb,4,800m,100,19,200,400,730415.9
50mb,4,800m,100,19,200,450,818658.7
50mb,4,800m,100,19,200,500,952487.3
50mb,4,800m,100,20,0,350,18.8
50mb,4,800m,100,20,0,400,15.2
50mb,4,800m,100,20,0,450,15.0
50mb,4,800m,100,20,0,500,14.4
50mb,4,800m,100,20,20,350,4082.3
50mb,4,800m,100,20,20,400,2491.7
50mb,4,800m,100,20,20,450,2505.8
50mb,4,800m,100,20,20,500,2438.8
50mb,4,800m,100,20,40,350,22985.4
50mb,4,800m,100,20,40,400,20207.1
50mb,4,800m,100,20,40,450,24761.1
50mb,4,800m,100,20,40,500,18217.9
50mb,4,800m,100,20,60,350,40377.9
50mb,4,800m,100,20,60,400,49196.8
50mb,4,800m,100,20,60,450,45596.3
50mb,4,800m,100,20,60,500,32075.1
50mb,4,800m,100,20,80,350,95618.5
50mb,4,800m,100,20,80,400,70177.6
50mb,4,800m,100,20,80,450,81896.2
50mb,4,800m,100,20,80,500,98891.7
50mb,4,800m,100,20,100,350,141518.4
50mb,4,800m,100,20,100,400,258010.0
50mb,4,800m,100,20,100,450,246633.6
50mb,4,800m,100,20,100,500,251746.1
50mb,4,800m,100,20,120,350,334583.4
50mb,4,800m,100,20,120,400,190423.4
50mb,4,800m,100,20,120,450,275368.2
50mb,4,800m,100,20,120,500,230481.5
50mb,4,800m,100,20,140,350,341817.7
50mb,4,800m,100,20,140,400,590394.5
50mb,4,800m,100,20,140,450,394725.4
50mb,4,800m,100,20,140,500,360601.9
50mb,4,800m,100,20,160,350,437196.3
50mb,4,800m,100,20,160,400,548023.7
50mb,4,800m,100,20,160,450,835457.3
50mb,4,800m,100,20,160,500,421083.7
50mb,4,800m,100,20,180,350,1073232.5
50mb,4,800m,100,20,180,400,918376.0
50mb,4,800m,100,20,180,450,970583.4
50mb,4,800m,100,20,180,500,878958.3
50mb,4,800m,100,20,200,350,827122.4
50mb,4,800m,100,20,200,400,1105585.7
50mb,4,800m,100,20,200,450,539449.2
50mb,4,800m,100,20,200,500,477299.5
