deviceIORate,cpu,memory,swap,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,4,700m,1,1,0,350,41.3
50mb,4,700m,0,1,0,350,41.1
50mb,4,700m,1,1,0,400,42.1
50mb,4,700m,0,1,0,400,42.2
50mb,4,700m,1,1,0,450,41.9
50mb,4,700m,0,1,0,450,41.3
50mb,4,700m,1,1,0,500,41.7
50mb,4,700m,0,1,0,500,41.6
50mb,4,700m,1,1,50,350,99.5
50mb,4,700m,0,1,50,350,86.9
50mb,4,700m,1,1,50,400,105.8
50mb,4,700m,0,1,50,400,86.4
50mb,4,700m,1,1,50,450,106.4
50mb,4,700m,0,1,50,450,87.3
50mb,4,700m,1,1,50,500,104.4
50mb,4,700m,0,1,50,500,85.2
50mb,4,700m,1,1,100,350,198.9
50mb,4,700m,0,1,100,350,165.4
50mb,4,700m,1,1,100,400,361.7
50mb,4,700m,0,1,100,400,222.2
50mb,4,700m,1,1,100,450,293.1
50mb,4,700m,0,1,100,450,164.8
50mb,4,700m,1,1,100,500,222.6
50mb,4,700m,0,1,100,500,190.7
50mb,4,700m,1,1,150,350,11159078.8
50mb,4,700m,0,1,150,350,32201.1
50mb,4,700m,1,1,150,400,14452798.1
50mb,4,700m,0,1,150,400,26810.8
50mb,4,700m,1,1,150,450,13867121.2
50mb,4,700m,0,1,150,450,31222.3
50mb,4,700m,1,1,150,500,17780445.7
50mb,4,700m,0,1,150,500,56870.7
50mb,4,700m,1,1,200,350,17219213.6
50mb,4,700m,0,1,200,350,55119.4
50mb,4,700m,1,1,200,400,17003321.5
50mb,4,700m,0,1,200,400,75217.7
50mb,4,700m,1,1,200,450,17457977.2
50mb,4,700m,0,1,200,450,177543.8
