deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,4,700m,25,1,0,350,16.1
50mb,4,700m,25,1,0,400,14.3
50mb,4,700m,25,1,0,450,16.0
50mb,4,700m,25,1,0,500,16.9
50mb,4,700m,25,1,50,350,58.2
50mb,4,700m,25,1,50,400,53.6
50mb,4,700m,25,1,50,450,54.2
50mb,4,700m,25,1,50,500,54.3
50mb,4,700m,25,1,100,350,84.6
50mb,4,700m,25,1,100,400,88.8
50mb,4,700m,25,1,100,450,95.3
50mb,4,700m,25,1,100,500,85.4
50mb,4,700m,25,1,150,350,2503.3
50mb,4,700m,25,1,150,400,1928.1
50mb,4,700m,25,1,150,450,2418.8
50mb,4,700m,25,1,150,500,2128.5
50mb,4,700m,25,1,200,350,12416.6
50mb,4,700m,25,1,200,400,11333.4
50mb,4,700m,25,1,200,450,9795.7
50mb,4,700m,25,1,200,500,12036.5
50mb,4,700m,25,1,250,350,22998.4
50mb,4,700m,25,1,250,400,24214.3
50mb,4,700m,25,1,250,450,22149.8
