deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,4,700m,25,1,0,350,16.5
50mb,4,700m,25,1,0,400,14.3
50mb,4,700m,25,1,0,450,14.9
50mb,4,700m,25,1,0,500,15.5
50mb,4,700m,25,1,20,350,25.0
50mb,4,700m,25,1,20,400,23.6
50mb,4,700m,25,1,20,450,25.1
50mb,4,700m,25,1,20,500,25.4
50mb,4,700m,25,1,40,350,46.9
50mb,4,700m,25,1,40,400,42.5
50mb,4,700m,25,1,40,450,46.3
50mb,4,700m,25,1,40,500,44.4
50mb,4,700m,25,1,60,350,51.0
50mb,4,700m,25,1,60,400,49.3
50mb,4,700m,25,1,60,450,51.0
50mb,4,700m,25,1,60,500,49.0
50mb,4,700m,25,1,80,350,210.3
50mb,4,700m,25,1,80,400,117.3
50mb,4,700m,25,1,80,450,179.4
50mb,4,700m,25,1,80,500,115.1
50mb,4,700m,25,1,100,350,86.8
50mb,4,700m,25,1,100,400,90.4
50mb,4,700m,25,1,100,450,89.9
50mb,4,700m,25,1,100,500,87.1
50mb,4,700m,25,1,120,350,350.7
50mb,4,700m,25,1,120,400,281.2
50mb,4,700m,25,1,120,450,274.7
50mb,4,700m,25,1,120,500,410.5
50mb,4,700m,25,1,140,350,2246.5
50mb,4,700m,25,1,140,400,2126.4
50mb,4,700m,25,1,140,450,2440.5
50mb,4,700m,25,1,140,500,2479.0
50mb,4,700m,25,1,160,350,7327.3
50mb,4,700m,25,1,160,400,9471.9
50mb,4,700m,25,1,160,450,10200.9
50mb,4,700m,25,1,160,500,10027.1
50mb,4,700m,25,1,180,350,9888.9
50mb,4,700m,25,1,180,400,11626.3
50mb,4,700m,25,1,180,450,14311.7
50mb,4,700m,25,1,180,500,4868.4
50mb,4,700m,25,1,200,350,10593.5
50mb,4,700m,25,1,200,400,11528.9
50mb,4,700m,25,1,200,450,10598.1
50mb,4,700m,25,1,200,500,11450.6
50mb,4,700m,25,2,0,350,15.5
50mb,4,700m,25,2,0,400,15.2
