deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,700m,50,1,0,350,13.7
50mb,1,700m,50,1,0,400,14.8
50mb,1,700m,50,1,0,450,15.0
50mb,1,700m,50,1,0,500,15.0
50mb,1,700m,50,1,20,350,23.2
50mb,1,700m,50,1,20,400,24.0
50mb,1,700m,50,1,20,450,24.6
50mb,1,700m,50,1,20,500,24.3
50mb,1,700m,50,1,40,350,47.8
50mb,1,700m,50,1,40,400,51.6
50mb,1,700m,50,1,40,450,49.9
50mb,1,700m,50,1,40,500,56.2
50mb,1,700m,50,1,60,350,57.5
50mb,1,700m,50,1,60,400,54.2
50mb,1,700m,50,1,60,450,53.4
50mb,1,700m,50,1,60,500,49.6
50mb,1,700m,50,1,80,350,92.6
50mb,1,700m,50,1,80,400,98.9
50mb,1,700m,50,1,80,450,86.0
50mb,1,700m,50,1,80,500,81.1
50mb,1,700m,50,1,100,350,93.3
50mb,1,700m,50,1,100,400,94.0
50mb,1,700m,50,1,100,450,92.2
50mb,1,700m,50,1,100,500,88.7
50mb,1,700m,50,1,120,350,127.9
50mb,1,700m,50,1,120,400,115.2
50mb,1,700m,50,1,120,450,124.5
50mb,1,700m,50,1,120,500,124.7
50mb,1,700m,50,1,140,350,157.8
50mb,1,700m,50,1,140,400,185.6
50mb,1,700m,50,1,140,450,192.3
50mb,1,700m,50,1,140,500,178.1
50mb,1,700m,50,1,160,350,9699.4
50mb,1,700m,50,1,160,400,11864.3
50mb,1,700m,50,1,160,450,17573.0
50mb,1,700m,50,1,160,500,13302.6
50mb,1,700m,50,1,180,350,16543.0
50mb,1,700m,50,1,180,400,19995.7
50mb,1,700m,50,1,180,450,21349.3
50mb,1,700m,50,1,180,500,20621.6
50mb,1,700m,50,1,200,350,30490.1
50mb,1,700m,50,1,200,400,30766.2
50mb,1,700m,50,1,200,450,28405.7
50mb,1,700m,50,1,200,500,32055.9
50mb,1,700m,50,2,0,350,14.9
50mb,1,700m,50,2,0,400,13.3
50mb,1,700m,50,2,0,450,14.5
50mb,1,700m,50,2,0,500,13.8
50mb,1,700m,50,2,20,350,25.6
50mb,1,700m,50,2,20,400,27.7
50mb,1,700m,50,2,20,450,26.3
50mb,1,700m,50,2,20,500,24.7
50mb,1,700m,50,2,40,350,43.6
50mb,1,700m,50,2,40,400,42.2
50mb,1,700m,50,2,40,450,42.4
50mb,1,700m,50,2,40,500,43.8
50mb,1,700m,50,2,60,350,48.1
50mb,1,700m,50,2,60,400,51.5
50mb,1,700m,50,2,60,450,50.6
50mb,1,700m,50,2,60,500,50.8
50mb,1,700m,50,2,80,350,1528.4
50mb,1,700m,50,2,80,400,3690.4
50mb,1,700m,50,2,80,450,1459.2
50mb,1,700m,50,2,80,500,2735.6
50mb,1,700m,50,2,100,350,9490.0
50mb,1,700m,50,2,100,400,11953.9
50mb,1,700m,50,2,100,450,9390.3
50mb,1,700m,50,2,100,500,12946.2
50mb,1,700m,50,2,120,350,19071.4
50mb,1,700m,50,2,120,400,19247.1
50mb,1,700m,50,2,120,450,21944.5
50mb,1,700m,50,2,120,500,21672.9
50mb,1,700m,50,2,140,350,31322.5
50mb,1,700m,50,2,140,400,27925.7
50mb,1,700m,50,2,140,450,28460.6
50mb,1,700m,50,2,140,500,26054.1
50mb,1,700m,50,2,160,350,37414.8
50mb,1,700m,50,2,160,400,34391.2
50mb,1,700m,50,2,160,450,35093.5
50mb,1,700m,50,2,160,500,38892.2
50mb,1,700m,50,2,180,350,43403.8
50mb,1,700m,50,2,180,400,46600.9
50mb,1,700m,50,2,180,450,44029.4
50mb,1,700m,50,2,180,500,46167.1
50mb,1,700m,50,2,200,350,54819.2
50mb,1,700m,50,2,200,400,50961.5
50mb,1,700m,50,2,200,450,54051.6
50mb,1,700m,50,2,200,500,53366.8
50mb,1,700m,50,3,0,350,14.5
50mb,1,700m,50,3,0,400,13.9
50mb,1,700m,50,3,0,450,14.2
50mb,1,700m,50,3,0,500,14.3
50mb,1,700m,50,3,20,350,27.6
50mb,1,700m,50,3,20,400,26.5
50mb,1,700m,50,3,20,450,29.9
50mb,1,700m,50,3,20,500,27.3
50mb,1,700m,50,3,40,350,45.7
50mb,1,700m,50,3,40,400,48.3
50mb,1,700m,50,3,40,450,43.3
50mb,1,700m,50,3,40,500,50.4
50mb,1,700m,50,3,60,350,1833.4
50mb,1,700m,50,3,60,400,2238.8
50mb,1,700m,50,3,60,450,3484.7
50mb,1,700m,50,3,60,500,2099.9
50mb,1,700m,50,3,80,350,10108.6
50mb,1,700m,50,3,80,400,10105.3
50mb,1,700m,50,3,80,450,9131.0
50mb,1,700m,50,3,80,500,11118.9
50mb,1,700m,50,3,100,350,19461.4
50mb,1,700m,50,3,100,400,16815.1
50mb,1,700m,50,3,100,450,18080.8
50mb,1,700m,50,3,100,500,17594.0
50mb,1,700m,50,3,120,350,29797.1
50mb,1,700m,50,3,120,400,28279.7
50mb,1,700m,50,3,120,450,25099.8
50mb,1,700m,50,3,120,500,29652.9
50mb,1,700m,50,3,140,350,35927.4
50mb,1,700m,50,3,140,400,37549.5
50mb,1,700m,50,3,140,450,35842.0
50mb,1,700m,50,3,140,500,34531.2
