deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,800m,100,1,0,350,16.0
50mb,1,800m,100,1,0,400,15.2
50mb,1,800m,100,1,0,450,15.6
50mb,1,800m,100,1,0,500,13.9
50mb,1,800m,100,1,20,350,80.8
50mb,1,800m,100,1,20,400,26.0
50mb,1,800m,100,1,20,450,25.5
50mb,1,800m,100,1,20,500,24.4
50mb,1,800m,100,1,40,350,36.5
50mb,1,800m,100,1,40,400,35.5
50mb,1,800m,100,1,40,450,35.0
50mb,1,800m,100,1,40,500,35.6
50mb,1,800m,100,1,60,350,43.6
50mb,1,800m,100,1,60,400,51.4
50mb,1,800m,100,1,60,450,48.5
50mb,1,800m,100,1,60,500,49.2
50mb,1,800m,100,1,80,350,55.9
50mb,1,800m,100,1,80,400,56.3
50mb,1,800m,100,1,80,450,56.8
50mb,1,800m,100,1,80,500,95.3
50mb,1,800m,100,1,100,350,66.6
50mb,1,800m,100,1,100,400,67.2
50mb,1,800m,100,1,100,450,69.9
50mb,1,800m,100,1,100,500,67.6
50mb,1,800m,100,1,120,350,75.4
50mb,1,800m,100,1,120,400,79.7
50mb,1,800m,100,1,120,450,75.6
50mb,1,800m,100,1,120,500,77.7
50mb,1,800m,100,1,140,350,600.5
50mb,1,800m,100,1,140,400,1152.7
50mb,1,800m,100,1,140,450,3851.3
50mb,1,800m,100,1,140,500,3875.4
50mb,1,800m,100,1,160,350,25816.8
50mb,1,800m,100,1,160,400,28472.4
50mb,1,800m,100,1,160,450,29368.8
50mb,1,800m,100,1,160,500,37880.2
50mb,1,800m,100,1,180,350,61087.3
50mb,1,800m,100,1,180,400,43845.3
50mb,1,800m,100,1,180,450,52251.5
50mb,1,800m,100,1,180,500,53880.8
50mb,1,800m,100,1,200,350,84649.5
50mb,1,800m,100,1,200,400,84222.1
50mb,1,800m,100,1,200,450,74708.9
50mb,1,800m,100,1,200,500,77236.4
50mb,1,800m,100,2,0,350,15.7
50mb,1,800m,100,2,0,400,14.9
50mb,1,800m,100,2,0,450,15.2
50mb,1,800m,100,2,0,500,14.6
50mb,1,800m,100,2,20,350,24.5
50mb,1,800m,100,2,20,400,23.4
50mb,1,800m,100,2,20,450,24.9
50mb,1,800m,100,2,20,500,25.6
50mb,1,800m,100,2,40,350,130.9
50mb,1,800m,100,2,40,400,36.7
50mb,1,800m,100,2,40,450,34.7
50mb,1,800m,100,2,40,500,34.6
50mb,1,800m,100,2,60,350,195.8
50mb,1,800m,100,2,60,400,46.0
50mb,1,800m,100,2,60,450,43.9
50mb,1,800m,100,2,60,500,46.0
50mb,1,800m,100,2,80,350,10241.8
50mb,1,800m,100,2,80,400,11837.0
50mb,1,800m,100,2,80,450,13145.6
50mb,1,800m,100,2,80,500,11722.3
50mb,1,800m,100,2,100,350,36695.5
50mb,1,800m,100,2,100,400,37510.3
50mb,1,800m,100,2,100,450,38443.8
50mb,1,800m,100,2,100,500,38468.1
50mb,1,800m,100,2,120,350,51087.5
50mb,1,800m,100,2,120,400,74167.9
50mb,1,800m,100,2,120,450,55954.6
50mb,1,800m,100,2,120,500,61577.7
50mb,1,800m,100,2,140,350,145894.4
50mb,1,800m,100,2,140,400,165562.5
50mb,1,800m,100,2,140,450,143801.6
50mb,1,800m,100,2,140,500,123713.7
50mb,1,800m,100,2,160,350,196981.7
50mb,1,800m,100,2,160,400,211921.7
50mb,1,800m,100,2,160,450,199435.9
50mb,1,800m,100,2,160,500,192211.0
50mb,1,800m,100,2,180,350,261711.9
50mb,1,800m,100,2,180,400,233679.0
50mb,1,800m,100,2,180,450,309228.1
50mb,1,800m,100,2,180,500,282236.9
50mb,1,800m,100,2,200,350,287046.2
50mb,1,800m,100,2,200,400,260711.8
50mb,1,800m,100,2,200,450,276705.7
50mb,1,800m,100,2,200,500,288268.9
50mb,1,800m,100,3,0,350,15.1
50mb,1,800m,100,3,0,400,14.6
50mb,1,800m,100,3,0,450,15.1
50mb,1,800m,100,3,0,500,14.5
50mb,1,800m,100,3,20,350,23.6
50mb,1,800m,100,3,20,400,24.0
50mb,1,800m,100,3,20,450,26.8
50mb,1,800m,100,3,20,500,25.2
50mb,1,800m,100,3,40,350,36.3
50mb,1,800m,100,3,40,400,35.4
50mb,1,800m,100,3,40,450,34.2
50mb,1,800m,100,3,40,500,35.4
50mb,1,800m,100,3,60,350,14290.1
50mb,1,800m,100,3,60,400,12588.9
50mb,1,800m,100,3,60,450,13782.9
50mb,1,800m,100,3,60,500,13664.5
50mb,1,800m,100,3,80,350,36334.1
50mb,1,800m,100,3,80,400,36014.8
50mb,1,800m,100,3,80,450,35751.2
